,Title,published_date,Views,Likes,Comments
0,9+ LPA SALARY in First JOB 🔥! ELECTRICAL ENGINEER in Power Plant To DATA SCIENTIST @ PayTm  ❤️,2022-04-27T13:30:07Z,1995,160,28
1,25+ LPA CTC in 1 Year 🔥! FRESHER DATA ENGINEER @ Walmart ❤️ Why Did He Leave DATA SCIENCE JOB?? 😳,2022-04-23T13:30:05Z,20131,623,101
2,"30+ LPA CTC For Data Engineers 🔥! Join TOP 10 INDIAN FinTech Startups ❤️  Skills, CTC Explained 🔥",2022-04-19T13:36:49Z,4941,221,35
3,5+ LPA as TESTER to 35+ LPA as Data Analyst @ UBER🔥! CIVIL Engineer Cracked UBER Data Analyst JOB ❤️,2022-04-16T13:51:07Z,58347,1705,172
4,Print TREE NODES Using SQL🔥UBER Data Engineer Interview 🔥 Got Rejected Because Of STUPID MISTAKE😰,2022-04-13T13:30:06Z,17607,788,72
5,COMMERCE Student Cracked TECH Job🔥7+ LPA Salary - Data Engineer 🔥No Excuses - Motivation ❤️ Can you?,2022-04-09T13:30:07Z,8642,444,88
6,AMAZON To NEW Company ??🔥 I Got 7 JOB Offers - DATA ENGINEER 🔥 Which Company Did I Join? ❤️,2022-04-06T13:54:57Z,14586,756,156
7,3.3 LPA Infosys To 15x LPA Microsoft 🔥! DATA ENGINEER From Tier-3 College 🔥 SERVICE to PRODUCT ❤️,2022-04-02T13:30:03Z,75710,2584,168
8,Data Analyst Complete ROADMAP - 2022 🔥! 15+ LPA CTC  ❤️ Skills & FREE Resources EXPLAINED 😎,2022-03-30T13:30:07Z,38690,1895,101
9,How Much SALARY Do You Want ?🔥FAANG Recruiter Sharing Salary SECRETS 🤩 NEGOTIATE For HIGHER Salary❤️,2022-03-26T13:35:06Z,74543,1271,86
10,15+ LPA CTC with EASY Interviews 🔥 Foreign Trips - TOP 4 Companies for Data Engineers ❤️ CONSULTANT,2022-03-24T13:30:07Z,7370,356,75
11,50 LPA to 60 LPA CTC 🔥! More Than FAANG - 10 Companies ❤️ FULL WORK FROM HOME - DATA ENGINEER 😎,2022-03-20T14:37:57Z,14461,672,96
12,"1.8 LPA Salary To 12+ LPA 🔥! TESTING Job To SOFTWARE ENGINEER ❤️ NO Campus Offer, NO Tech Skills 😎",2022-03-16T13:30:28Z,11832,513,83
13,7 YEARS in NON-TECH to DATA SCIENCE 🔥! FIELD Worker CRACKED TECH JOB ❤️ It's NEVER TOO LATE 😎,2022-03-12T13:30:03Z,12274,460,71
14,"FULL Interview PROCESS for TOP Companies 🔥! 0-5 YEARS, 20+ LPA Minimum CTC 😎! Total ROUNDS? TOPICS?",2022-03-09T13:30:29Z,6522,369,57
15,5 LPA to 50+ LPA in 2 YEARS 🔥! Ultimate DATA SCIENTIST @ Microsoft 🔥 FRESHER Cracked SENIOR Role ❤️,2022-03-05T13:33:50Z,106694,3178,141
16,"50+ LPA for Entry Level DATA ENGINEERS 🔥 in MAANG ❤️ Explained - JOB ROLE, SKILLS, SALARY Breakup 🔥!",2022-03-02T13:30:06Z,10214,411,56
17,2.5 LPA to 300% Salary HIKE 🔥 DATA ENGINEER @ ZOOM - Service Based to Product Based 😎 Tier-3 College,2022-02-26T13:30:04Z,20843,798,85
18,"How to become DATA SCIENTIST in 2022 !🔥 COMPLETE Roadmap - Step By Step !🔥 Easy, Medium, Advance",2022-02-24T13:30:02Z,8277,481,167
19,"Learn SQL For FREE 🔥 Best Resources - BEGINNER to ADVANCE 🔥 Data Engineer, Data Science, Analysts",2022-02-22T13:30:06Z,11869,802,38
20,"Motivational | ❤️ OFF CAMPUS To PRODUCT COMPANY 🔥 NO College Support, NO ON CAMPUS 😕 | Scaler",2022-02-20T06:51:22Z,3296,122,18
21,50 LPA SALARY For Freshers - DATA ENGINEER In STARTUPS  🔥 INDIAN UNICORNS 2022 - Explained,2022-02-17T13:28:41Z,8475,406,61
22,"100000+ SOLVED Big Data PROJECTS In 5 Years 🔥 GOLD Mine Of Data Science,  AI/ML Projects In 2022",2022-02-12T13:51:51Z,8043,332,22
23,"5 FREE Big Data Engineer Courses 🔥 Beginner DATA ENGINEERS - 2022 || Hadoop, Spark, SQL, Cloud",2022-02-10T13:36:28Z,18976,1030,58
24,BEST LinkedIn Profile Tips - 2022 By FAANG HR🔥 Grab More INTERVIEW CALLS From TOP Tech Companies,2022-02-06T13:30:21Z,31671,1279,79
25,"5 LPA - 18 LPA Job  🔥 | FRESHER DATA ENGINEERS 🔥TOP Service COMPANIES - 2022 | JOB ROLE, SKILLS",2022-02-04T13:30:27Z,9131,452,93
26,"We QUIT $300000 Job At FAANG ?? Ex-Facebook, Ex-Amazon DATA ENGINEERS 🔥 Ft. @Seattle Data Guy",2022-01-30T07:50:44Z,6067,177,19
27,"DSA All Topics For DATA ENGINEERS 🔥INTERVIEWS For 2022, Difficulty LEVEL, Questions FOR FAANG",2022-01-28T13:30:06Z,7224,407,65
28,"Call Center Job To TOP TECH Companies 🤯 Real Motivation, MCA Ranker, DATA ENGINEER, Salary In LAKHS🔥",2022-01-22T13:30:40Z,14533,654,62
29,"PYTHON Beginner Topics - Interview 2022🔥Easy To Medium - Data Engineers, Data Scientists, Analysts",2022-01-19T15:07:52Z,7398,407,54
30,Why FAANG Recruiters REJECT Candidates? 😔DO NOT MAKE THESE MISTAKES IN 2022 - TIPS From FAANG HR,2022-01-15T13:30:02Z,66402,2504,125
31,FAANG Design INTERVIEW - TOP AWS Services 🔥For DATA ENGINEERS - 2022,2022-01-13T16:10:50Z,3864,146,30
32,"MANAGER Rejecting Data Engineer Candidates 🤯REASONS and IMPROVEMENTS , Hirings In 2022",2022-01-09T13:41:35Z,12775,490,31
33,"MUST Do SQL Topics For FAANG 2022🔥 BEGINNER + ADVANCE Level | Data Engineer, Data Scientist, Analyst",2022-01-07T14:46:16Z,21157,1068,86
34,Did Amazon Fire Me?? Reasons To QUIT AMAZON 🥲,2022-01-04T13:40:11Z,17121,730,62
35,"Age-18, Secrets Of 7 Star CodeChef & IGM CodeForces ll Pro Level Tips",2021-12-27T13:31:35Z,41566,1382,55
36,DJ Became FAANG DATA SCIENTIST 🔥 Wrote Best Selling Book - ACE THE DATA SCIENCE INTERVIEW 🔥,2021-12-18T13:24:46Z,4927,203,12
37,"FREE Courses + JOB 🔥 FRESHERS Direct Hiring 2020,2021,2022 -Dream Job 🔥 CareerBoost By GreatLearning",2021-12-14T13:23:26Z,2895,145,14
38,GOOGLE Data Engineer Interview - Watch It BEFORE Your PREPARATION 🔥,2021-12-11T13:24:00Z,25703,879,38
39,Forever Single Coder 💔 #shorts,2021-12-10T15:33:55Z,3334,70,5
40,"Fresher Cracking Top Companies - Data Engineer Role || Sharing All Secrets, Experiences, Best Tips",2021-12-04T13:25:13Z,11316,491,67
41,Fixing Bug In Code - Feeling Like Hacker 😂 Just For Fun - Coding,2021-12-02T15:55:39Z,2366,68,11
42,Data Engineer - All Secrets Revealed For Interview At PayTm || EPISODE-1,2021-11-27T13:34:38Z,9595,320,30
43,9 Years In SERVICE Company To MICROSOFT | Story of NEVER Giving UP - Scaler Academy Review,2021-11-20T13:26:30Z,5146,227,24
44,Is It Possible In 2021 ?? Switched From TESTING to SOFTWARE Development | Art Of UPSKILLING ...,2021-11-16T13:25:46Z,3964,164,19
45,Resigned From Amazon - Last Day As Amazon Engineer 😔 Memorable Journey  ...,2021-11-09T12:23:04Z,12398,450,89
46,If You Don't Like DSA ?? HACKATHON WINS Got Him A JOB & Money In College 💯,2021-10-30T14:08:18Z,3422,155,10
47,How To Become 6 ⭐ CODER & CANDIDATE MASTER - PRO Tips From PRO Coder | Start CP - STEPS and MISTAKES,2021-10-23T14:10:32Z,8136,419,20
48,INDIAN HACKER with Mind BLOWING Achievements 🤩 HACKING At It's Best...,2021-10-16T13:23:34Z,3433,185,15
49,DBMS Interview Topics In 1 Video || Data Engineer Interview Preparation,2021-10-09T13:26:49Z,3936,225,24
50,TESTING Profile is so UNDERRATED... Things you need to know for Perfect Career,2021-10-02T13:25:29Z,2558,144,15
51,Which One To Choose and Why? Is it CTC or Tech Stack or Learnings? Software Engineer India,2021-09-27T06:12:39Z,1913,73,7
52,"Truth About MCA Course, What if you didn't get into NITs .....",2021-09-25T13:15:17Z,11001,508,113
53,"Android Development, Will You Choose It ?? Live Q&A With Microsoft Engineer 💯 Roadmap, Guidance",2021-09-20T05:59:28Z,1869,96,4
54,He Directly Applied From Career Page and Got The Interview Call - Amazon Interview Experience,2021-09-18T13:24:33Z,4539,197,40
55,"GOOGLE Complete Process - Interview, Preparation, Programs, Challenges | Live Q&A With Googler",2021-09-13T06:07:29Z,3686,239,7
56,Will Companies Shortlist your PROFILE if Year Gap after college ??  Data Science | Motivation ✌️,2021-09-11T13:46:35Z,4819,186,35
57,Opportunity For 2020/2021 Batch 🥳 Learn & Earn | Best Thing For College Students,2021-09-08T13:20:07Z,2021,96,5
58,Say Hello to BigData - Live QnA With Ex-Facebook Data Engineer,2021-09-06T06:06:03Z,3364,200,9
59,Expose Video Ft.@Samuel Miller 😏He Roasted WhiteHatJr,2021-09-04T12:10:11Z,2811,248,42
60,14 Job Offers & Tier-3 College ... Seriously ??? Software Engineer India,2021-08-29T12:49:46Z,6070,343,32
61,INTERNSHIP is not EASY - TIPS......,2021-08-28T07:40:58Z,1260,84,8
62,"How Do They Learn ?? INDIA vs PAKISTAN - Engineering, Education, Startups, Earnings 🔥 Honest Talk",2021-08-22T13:31:02Z,3918,177,24
63,LinkedIn Growth - How To Use It ?? 🔥Best LinkedIn Growth Tips 🔥More than 50000 Followers,2021-08-21T07:22:51Z,1356,78,8
64,How does TWITTER hire Freshers ?? Hustle of TIER-3 College Student 🔴Software Engineer India,2021-08-15T12:55:44Z,6643,251,46
65,Kya AZAAD Ho Tum ?? #SHORTS,2021-08-15T07:07:10Z,1593,78,2
66,Jobs In Data Analytics - Live Class Update #SHORTS,2021-08-14T15:51:34Z,1377,37,2
67,Make MONEY In College 🔴NON-CS Student Side Hustle 🔴Pay Your Own College Fees,2021-08-14T07:13:20Z,4057,164,27
68,Service Company To Software Developer | How To Get 300% hike | Scaler Academy Review,2021-08-07T06:38:10Z,7262,378,41
69,Stupid Mistake In Interviews 😥 Increase Your Chances... Follow These Tips #SHORTS,2021-08-02T15:49:30Z,5554,344,12
70,MCA Student in TIER-3 College 🔥CRAZY SALARY HIKE 🔥STARTUP OFFER - YELLOW.AI 🔴Software Engineer INDIA,2021-07-31T07:25:55Z,5066,269,40
71,Life OF Tech Lead @ Airbnb 🔥Ex-FACEBOOK & NETFLIX 🔴Inspirational Journey In Tech Industry 🔥,2021-07-25T11:30:30Z,6784,354,25
72,Preparation Guide For SDE Profile 🔥Ft.@Soumyajit Bhattacharyay Software Engineer INDIA,2021-07-24T07:02:36Z,6888,272,12
73,Mistakes i Made as College Student 🔴REJECTION In College Placements - How to handle Failures 🔥,2021-07-22T07:00:11Z,3584,205,16
74,"TIER-3 College To GOOGLE 🔥 OFF Campus Offers From DUNZO, SAMSUNG 🔴 Full Journey 🔥",2021-07-17T07:45:09Z,9128,496,32
75,Ex-NASA Engineer 🔴 Machine Learning Explained 🔴 JULIA Language Vs PYTHON 🔥,2021-07-16T11:48:47Z,2511,129,13
76,5 V's Of Big Data - Facts 1 #shorts,2021-07-15T10:40:17Z,4347,246,7
77,Popular JOB PROFILES in BigData 🔴Which One is BEST for you and Why ??,2021-07-11T06:41:50Z,2602,95,21
78,"Data Engineer Outside INDIA Ft. @Karolina Sowinska 🔴Work, Companies, Skill Sets, Earnings🔥",2021-07-10T09:10:09Z,6516,252,19
79,Multiple BACKLOGS In College 🔥 Offer From 7 PRODUCT Companies🔥Next Level HUSTLE🔥,2021-06-26T07:25:57Z,9634,499,50
80,Age 23 - Started MILLION DOLLAR Startup 🔥 Honest Talk About ENTREPRENEURSHIP Challenges 🔥,2021-06-25T07:19:49Z,2926,129,15
81,"System Engineer at INFOSYS 🔴 Life In SERVICE Based Company 🔴 Learnings, Projects, Compensation 🔥",2021-06-12T07:36:22Z,24659,581,91
82,Freelance DATA ENGINEER - Earning 4 Times Money 🔴 How To Make Profile ? Clients ? SKILLS ? Platforms,2021-06-05T07:09:48Z,26712,872,74
83,JOB HIRING TOURNAMENT 🔴 CTC 15LPA+ 🔥 Only SKILLS🔥,2021-06-04T06:45:44Z,2578,100,28
84,Cyber Security Engineer - Amazing Journey 🔥Bug Bounty Hunter 🔴Make 6 Figure Income 🔥,2021-05-29T08:37:46Z,33662,1373,68
85,How Much Coding For Data Engineer Interview ?? Important DSA Topics 🔴Practise Question Sheet 🔴,2021-05-28T06:35:35Z,25892,772,71
86,"Life Of @Akshay Saini ❤️As Student, Startups, Teaching ✌️20K Special Podcast 🥳",2021-05-22T06:44:32Z,8231,498,41
87,"0 to 20000 Subscribers Milestone ❤️Special Giveaway 🥳You Guys Are My Strength, You Have Made Me ❤️❤️",2021-05-16T13:08:15Z,2291,137,56
88,5 Years in TCS 👨🏻‍💻9 Job Offers From Product Companies 😳Expectation In Interviews? How To Crack It?,2021-05-15T08:26:15Z,196061,3865,180
89,Blind Student Cracked Top MNC 🔥GoldmanSachs 🔴Life Is A Hustle 🔴Never Give UP 🔴Inspirational Journey🔥,2021-05-08T06:32:36Z,3709,293,47
